codigo,promedio_acumulado_programa_principal(pam),promedio_semestral_programa_principal(pcp),creditos_inscritos,participacion_total,cluster,perfil
c10378hk182298y,2.43,1.48,17,3.0,1,Perfil 2
c10378kj33813a,4.34,4.58,0,13.0,0,Perfil 1
c10385jf85110v,4.17,4.65,0,50.0,0,Perfil 1
c10386yq19231n,4.11,5.0,18,25.0,0,Perfil 1
c10387zh15715t,4.07,4.09,20,14.0,0,Perfil 1
c10389bq150164b,3.37,2.8,0,15.0,1,Perfil 2
c10389db8419e,4.2,4.25,16,7.0,0,Perfil 1
c1038oz444264t,4.07,4.4,0,21.0,0,Perfil 1
c10391wh90200v,4.13,4.23,0,13.0,0,Perfil 1
c10397kw432260b,4.61,4.6,0,31.0,0,Perfil 1
c104117yl8448p,4.09,4.3,0,21.0,0,Perfil 1
c104125zr434395w,4.36,4.7,0,9.0,0,Perfil 1
c104132fs252445s,3.59,3.73,19,1.0,0,Perfil 1
c104134ns489418a,4.28,4.48,0,44.0,0,Perfil 1
c104160ta24358p,3.6,4.2,0,19.0,0,Perfil 1
c104173uo276422w,4.34,4.6,18,11.0,0,Perfil 1
c104178zr58181v,4.54,5.0,0,3.0,0,Perfil 1
c104181if198241p,4.03,3.94,15,16.0,0,Perfil 1
c104189qh36490z,2.85,2.85,19,2.0,1,Perfil 2
c104211je319478f,3.53,3.33,0,3.0,1,Perfil 2
c104214pm25683v,3.63,4.44,13,0.0,0,Perfil 1
c10421md392249s,4.0,5.0,0,23.0,0,Perfil 1
c10422fr366121j,4.29,4.53,0,27.0,0,Perfil 1
c10422jr32390p,4.13,4.13,18,5.0,0,Perfil 1
c10423rl472157s,3.58,3.58,0,7.0,0,Perfil 1
c104244sk314215n,4.57,4.78,0,15.0,0,Perfil 1
c104265jw49777o,4.15,4.18,17,20.0,0,Perfil 1
c10427dq31712e,1.85,1.85,20,0.0,1,Perfil 2
c104283er174388n,4.01,4.04,0,5.0,0,Perfil 1
c104285nz195475j,4.23,4.6,0,20.0,0,Perfil 1
c104289tx462138i,4.05,4.29,14,6.0,0,Perfil 1
c104294gh27998d,4.72,5.0,0,26.0,0,Perfil 1
c10429vi123311f,3.12,2.66,24,1.0,1,Perfil 2
c10430vj17055a,4.25,4.81,0,28.0,0,Perfil 1
c10432sc30458e,3.78,4.0,0,9.0,0,Perfil 1
c104333ur24026j,4.54,4.54,0,4.0,0,Perfil 1
c104336lr498355z,3.61,4.27,19,14.0,0,Perfil 1
c104343nh360137p,0.03,0.03,19,0.0,1,Perfil 2
